Ensembl	Gene	"Gene description"
ENSG00000074054	CLASP1	"Cytoplasmic linker associated protein 1"
ENSG00000101367	MAPRE1	"Microtubule associated protein RP/EB family member 1"
ENSG00000137497	NUMA1	"Nuclear mitotic apparatus protein 1"
ENSG00000007168	PAFAH1B1	"Platelet activating factor acetylhydrolase 1b regulatory subunit 1"
ENSG00000163539	CLASP2	"Cytoplasmic linker associated protein 2"
ENSG00000084764	MAPRE3	"Microtubule associated protein RP/EB family member 3"
ENSG00000186868	MAPT	"Microtubule associated protein tau"
ENSG00000047849	MAP4	"Microtubule associated protein 4"
ENSG00000078018	MAP2	"Microtubule associated protein 2"
ENSG00000131711	MAP1B	"Microtubule associated protein 1B"
ENSG00000204843	DCTN1	"Dynactin subunit 1"
ENSG00000076826	CAMSAP3	"Calmodulin regulated spectrin associated protein family member 3"
ENSG00000121621	KIF18A	"Kinesin family member 18A"
ENSG00000166963	MAP1A	"Microtubule associated protein 1A"
ENSG00000166974	MAPRE2	"Microtubule associated protein RP/EB family member 2"
ENSG00000007047	MARK4	"Microtubule affinity regulating kinase 4"
ENSG00000131462	TUBG1	"Tubulin gamma 1"
ENSG00000137822	TUBGCP4	"Tubulin gamma complex associated protein 4"
ENSG00000175216	CKAP5	"Cytoskeleton associated protein 5"
ENSG00000149499	EML3	"EMAP like 3"
ENSG00000142945	KIF2C	"Kinesin family member 2C"
ENSG00000128159	TUBGCP6	"Tubulin gamma complex associated protein 6"
ENSG00000138778	CENPE	"Centromere protein E"
ENSG00000135525	MAP7	"Microtubule associated protein 7"
ENSG00000130479	MAP1S	"Microtubule associated protein 1S"
ENSG00000021574	SPAST	Spastin
ENSG00000198718	TOGARAM1	"TOG array regulator of axonemal microtubules 1"
ENSG00000130640	TUBGCP2	"Tubulin gamma complex associated protein 2"
ENSG00000126216	TUBGCP3	"Tubulin gamma complex associated protein 3"
ENSG00000275835	TUBGCP5	"Tubulin gamma complex associated protein 5"
ENSG00000186185	KIF18B	"Kinesin family member 18B"
ENSG00000118200	CAMSAP2	"Calmodulin regulated spectrin associated protein family member 2"
ENSG00000140854	KATNB1	"Katanin regulatory subunit B1"
ENSG00000136861	CDK5RAP2	"CDK5 regulatory subunit associated protein 2"
ENSG00000171368	TPPP	"Tubulin polymerization promoting protein"
ENSG00000130779	CLIP1	"CAP-Gly domain containing linker protein 1"
ENSG00000270765	GAS2L2	"Growth arrest specific 2 like 2"
ENSG00000131437	KIF3A	"Kinesin family member 3A"
ENSG00000101350	KIF3B	"Kinesin family member 3B"
ENSG00000170759	KIF5B	"Kinesin family member 5B"
ENSG00000127603	MACF1	"Microtubule actin crosslinking factor 1"
ENSG00000088325	TPX2	"TPX2 microtubule nucleation factor"
ENSG00000037042	TUBG2	"Tubulin gamma 2"
ENSG00000130559	CAMSAP1	"Calmodulin regulated spectrin associated protein 1"
ENSG00000106665	CLIP2	"CAP-Gly domain containing linker protein 2"
ENSG00000185340	GAS2L1	"Growth arrest specific 2 like 1"
ENSG00000212916	MAP10	"Microtubule associated protein 10"
ENSG00000140941	MAP1LC3B	"Microtubule associated protein 1 light chain 3 beta"
